0 0 tensor(2.3072, device='cuda:0') tensor(0.9400, device='cuda:0')
0 1 tensor(2.2875, device='cuda:0') tensor(0.8000, device='cuda:0')
0 2 tensor(2.2973, device='cuda:0') tensor(0.9000, device='cuda:0')
0 3 tensor(2.2590, device='cuda:0') tensor(0.8600, device='cuda:0')
0 4 tensor(2.3044, device='cuda:0') tensor(0.9200, device='cuda:0')
0 5 tensor(2.2704, device='cuda:0') tensor(0.9000, device='cuda:0')
0 6 tensor(2.2083, device='cuda:0') tensor(0.8800, device='cuda:0')
0 7 tensor(2.2124, device='cuda:0') tensor(0.9000, device='cuda:0')
0 8 tensor(2.1654, device='cuda:0') tensor(0.8400, device='cuda:0')
0 9 tensor(2.1686, device='cuda:0') tensor(0.8000, device='cuda:0')
0 10 tensor(2.1536, device='cuda:0') tensor(0.6600, device='cuda:0')
0 11 tensor(2.1495, device='cuda:0') tensor(0.6800, device='cuda:0')
0 12 tensor(2.1102, device='cuda:0') tensor(0.6000, device='cuda:0')
0 13 tensor(2.0562, device='cuda:0') tensor(0.5200, device='cuda:0')
0 14 tensor(2.0337, device='cuda:0') tensor(0.5400, device='cuda:0')
0 15 tensor(1.9343, device='cuda:0') tensor(0.4400, device='cuda:0')
0 16 tensor(1.9129, device='cuda:0') tensor(0.4800, device='cuda:0')
0 17 tensor(1.9137, device='cuda:0') tensor(0.5000, device='cuda:0')
0 18 tensor(1.7280, device='cuda:0') tensor(0.2800, device='cuda:0')
0 19 tensor(1.7188, device='cuda:0') tensor(0.3800, device='cuda:0')
0 20 tensor(1.7143, device='cuda:0') tensor(0.4800, device='cuda:0')
0 21 tensor(1.6640, device='cuda:0') tensor(0.4400, device='cuda:0')
0 22 tensor(1.5053, device='cuda:0') tensor(0.3000, device='cuda:0')
0 23 tensor(1.4703, device='cuda:0') tensor(0.3800, device='cuda:0')
0 24 tensor(1.3704, device='cuda:0') tensor(0.4000, device='cuda:0')
0 25 tensor(1.0612, device='cuda:0') tensor(0.2200, device='cuda:0')
0 26 tensor(1.3150, device='cuda:0') tensor(0.2800, device='cuda:0')
0 27 tensor(0.9743, device='cuda:0') tensor(0.2200, device='cuda:0')
0 28 tensor(1.0275, device='cuda:0') tensor(0.3000, device='cuda:0')
0 29 tensor(0.9376, device='cuda:0') tensor(0.1800, device='cuda:0')
0 30 tensor(1.1188, device='cuda:0') tensor(0.2600, device='cuda:0')
0 31 tensor(0.7331, device='cuda:0') tensor(0.1400, device='cuda:0')
0 32 tensor(0.9243, device='cuda:0') tensor(0.2800, device='cuda:0')
0 33 tensor(1.1146, device='cuda:0') tensor(0.3000, device='cuda:0')
0 34 tensor(0.7468, device='cuda:0') tensor(0.2200, device='cuda:0')
0 35 tensor(0.8104, device='cuda:0') tensor(0.3200, device='cuda:0')
0 36 tensor(0.8423, device='cuda:0') tensor(0.3200, device='cuda:0')
0 37 tensor(0.5579, device='cuda:0') tensor(0.1200, device='cuda:0')
0 38 tensor(0.6619, device='cuda:0') tensor(0.2600, device='cuda:0')
0 39 tensor(0.9261, device='cuda:0') tensor(0.3000, device='cuda:0')
0 40 tensor(0.6495, device='cuda:0') tensor(0.2000, device='cuda:0')
0 41 tensor(0.7659, device='cuda:0') tensor(0.2200, device='cuda:0')
0 42 tensor(0.5093, device='cuda:0') tensor(0.1800, device='cuda:0')
0 43 tensor(0.7474, device='cuda:0') tensor(0.2200, device='cuda:0')
0 44 tensor(0.7579, device='cuda:0') tensor(0.2600, device='cuda:0')
0 45 tensor(0.7220, device='cuda:0') tensor(0.3200, device='cuda:0')
0 46 tensor(0.7095, device='cuda:0') tensor(0.2200, device='cuda:0')
0 47 tensor(0.7532, device='cuda:0') tensor(0.2600, device='cuda:0')
0 48 tensor(0.5440, device='cuda:0') tensor(0.2000, device='cuda:0')
0 49 tensor(0.5686, device='cuda:0') tensor(0.1400, device='cuda:0')
0 50 tensor(0.8078, device='cuda:0') tensor(0.2600, device='cuda:0')
0 51 tensor(0.8206, device='cuda:0') tensor(0.2600, device='cuda:0')
0 52 tensor(0.3064, device='cuda:0') tensor(0.0600, device='cuda:0')
0 53 tensor(0.4961, device='cuda:0') tensor(0.1600, device='cuda:0')
0 54 tensor(0.3875, device='cuda:0') tensor(0.1200, device='cuda:0')
0 55 tensor(0.7232, device='cuda:0') tensor(0.1600, device='cuda:0')
0 56 tensor(0.3737, device='cuda:0') tensor(0.1600, device='cuda:0')
0 57 tensor(0.8504, device='cuda:0') tensor(0.2000, device='cuda:0')
0 58 tensor(0.5561, device='cuda:0') tensor(0.1600, device='cuda:0')
0 59 tensor(0.3411, device='cuda:0') tensor(0.0800, device='cuda:0')
0 60 tensor(0.5222, device='cuda:0') tensor(0.2200, device='cuda:0')
0 61 tensor(0.6005, device='cuda:0') tensor(0.2200, device='cuda:0')
